t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
153,1,1,1,1,-5.132823015756424,-0.2677479876120121,-5.20060437098013,-1.6456251924862868,-5.1000000000000005
154,1,1,1,1,-5.20060437098013,-1.6456251924862868,-5.230493928579316,-0.0852553940962084,-5.1000000000000005
155,1,1,1,1,-5.230493928579316,-0.0852553940962084,-5.2664139648397565,-1.0187929005018677,-5.1000000000000005
156,1,1,1,1,-5.2664139648397565,-1.0187929005018677,-5.261320498844452,0.6298541188348948,-5.1000000000000005
157,1,1,1,1,-5.261320498844452,0.6298541188348948,-5.244125848360048,-0.0161472281809468,-5.1000000000000005
158,1,1,1,1,-5.244125848360048,-0.0161472281809468,-5.333379416831879,0.1053849638657351,-5.1000000000000005
159,1,1,1,1,-5.333379416831879,0.1053849638657351,-5.278230745113266,-0.1283684873296386,-5.1000000000000005
160,1,1,1,1,-5.278230745113266,-0.1283684873296386,-5.264053900376934,1.0757799283180132,-5.1000000000000005
161,1,1,1,1,-5.264053900376934,1.0757799283180132,-5.21607604716265,0.6219447198443648,-5.1000000000000005
162,1,1,1,1,-5.21607604716265,0.6219447198443648,-5.257537389174845,1.367086913917791,-5.1000000000000005
163,1,1,1,1,-5.257537389174845,1.367086913917791,-5.099754997985056,-0.0507971184496868,-5.1000000000000005
164,1,1,1,1,-5.099754997985056,-0.0507971184496868,-5.0378116904375645,0.1296109363999088,-5.1000000000000005
165,1,1,1,1,-5.0378116904375645,0.1296109363999088,-4.9163751983419175,0.3916072966303338,-5.1000000000000005
166,1,1,1,1,-4.9163751983419175,0.3916072966303338,-4.918942952885276,-0.1504241177458441,-5.1000000000000005
167,1,1,1,1,-4.918942952885276,-0.1504241177458441,-4.929807868620973,-0.2705596673273542,-5.1000000000000005
168,1,1,1,1,-4.929807868620973,-0.2705596673273542,-5.038349610904123,0.3846701033189476,-5.1000000000000005
169,1,1,1,1,-5.038349610904123,0.3846701033189476,-5.038878275608583,-0.0762747508987571,-5.1000000000000005
170,1,1,1,1,-5.038878275608583,-0.0762747508987571,-5.020489897228194,-0.292941014583447,-5.1000000000000005
171,1,1,1,1,-5.020489897228194,-0.292941014583447,-5.038153598017836,-0.3434433786650144,-5.1000000000000005
172,1,1,1,1,-5.038153598017836,-0.3434433786650144,-5.233225113110682,-0.9660276604008512,-5.1000000000000005
173,1,1,1,1,-5.233225113110682,-0.9660276604008512,-5.303495004654506,-0.468245011365364,-5.1000000000000005
174,1,1,1,1,-5.303495004654506,-0.468245011365364,-5.2947864710965735,0.2350251425573858,-5.1000000000000005
175,1,1,1,1,-5.2947864710965735,0.2350251425573858,-5.305855267006487,-0.2977945359144233,-5.1000000000000005
176,1,1,1,1,-5.305855267006487,-0.2977945359144233,-5.229789787653073,-0.2555724989178529,-5.1000000000000005
177,1,1,1,1,-5.229789787653073,-0.2555724989178529,-5.209021135545877,0.7068963172479026,-5.1000000000000005
178,1,1,1,1,-5.209021135545877,0.7068963172479026,-5.098113992145484,0.2308852318317682,-5.1000000000000005
179,1,1,1,1,-5.098113992145484,0.2308852318317682,-5.088494293656926,0.2472518520607912,-5.1000000000000005
180,1,1,1,1,-5.088494293656926,0.2472518520607912,-5.080596642701972,0.0265716213843596,-5.1000000000000005
181,1,1,1,1,-5.080596642701972,0.0265716213843596,-5.081629849148798,-0.0029185984360691,-5.1000000000000005
182,1,1,1,1,-5.081629849148798,-0.0029185984360691,-5.267254203466136,-0.7700876330340558,-5.1000000000000005
183,1,1,1,1,-5.267254203466136,-0.7700876330340558,-5.303531710821501,-0.4694197586454957,-5.1000000000000005
184,1,1,1,1,-5.303531710821501,-0.4694197586454957,-5.291974900186622,0.4297319554159919,-5.1000000000000005
185,1,1,1,1,-5.291974900186622,0.4297319554159919,-5.25191044126256,0.7928160442841371,-5.1000000000000005
186,1,1,1,1,-5.25191044126256,0.7928160442841371,-5.256524372481965,-0.5819817799162894,-5.1000000000000005
187,1,1,1,1,-5.256524372481965,-0.5819817799162894,-5.393294561889331,-0.4715933112465328,-5.1000000000000005
188,1,1,1,1,-5.393294561889331,-0.4715933112465328,-5.401930466539557,0.0582029486436713,-5.1000000000000005
189,1,1,1,1,-5.401930466539557,0.0582029486436713,-5.374177759127556,0.8571673550793484,-5.1000000000000005
190,1,1,1,1,-5.374177759127556,0.8571673550793484,-5.258575057103934,-0.4732605211254341,-5.1000000000000005
191,1,1,1,1,-5.258575057103934,-0.4732605211254341,-5.300580143274733,-0.835698947166069,-5.1000000000000005
192,1,1,1,1,-5.300580143274733,-0.835698947166069,-5.179398618357732,0.2364553739747761,-5.1000000000000005
193,1,1,1,1,-5.179398618357732,0.2364553739747761,-5.189224117181819,-0.3419246692001465,-5.1000000000000005
194,1,1,1,1,-5.189224117181819,-0.3419246692001465,-5.239783641645525,-1.3861916425311835,-5.1000000000000005
195,1,1,1,1,-5.239783641645525,-1.3861916425311835,-5.25428559937409,0.1401451593950808,-5.1000000000000005
196,1,1,1,1,-5.25428559937409,0.1401451593950808,-5.23645890704166,0.2773128490657263,-5.1000000000000005
