t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
76,6,3,3,3,-19.74593975869324,-2.6525580883026123,-20.01902374354508,-2.730839848518372,-2.5
77,6,3,3,3,-20.01902374354508,-2.730839848518372,-20.240726021205447,-2.2170227766036987,-2.5
78,6,3,3,3,-20.240726021205447,-2.2170227766036987,-20.495313403283618,-2.545873820781708,-2.5
79,6,3,3,3,-20.495313403283618,-2.545873820781708,-20.753945884381796,-2.5863248109817505,-2.5
80,6,3,3,3,-20.753945884381796,-2.5863248109817505,-21.026244220410845,-2.722983360290528,-2.5
81,6,3,3,3,-21.026244220410845,-2.722983360290528,-21.28973844376709,-2.634942233562469,-2.5
82,6,3,3,3,-21.28973844376709,-2.634942233562469,-21.55297776785996,-2.63239324092865,-2.5
83,6,3,3,3,-21.55297776785996,-2.63239324092865,-21.81746962395813,-2.6449185609817505,-2.5
84,6,3,3,3,-21.81746962395813,-2.6449185609817505,-22.052506041800044,-2.350364178419113,-2.5
85,6,3,3,3,-22.052506041800044,-2.350364178419113,-22.303313476120493,-2.5080743432044983,-2.5
86,6,3,3,3,-22.303313476120493,-2.5080743432044983,-22.560457629238627,-2.5714415311813354,-2.5
87,6,3,3,3,-22.560457629238627,-2.5714415311813354,-22.834697884594465,-2.7424025535583496,-2.5
88,6,3,3,3,-22.834697884594465,-2.7424025535583496,-23.10620046881344,-2.715025842189789,-2.5
89,6,3,3,3,-23.10620046881344,-2.715025842189789,-23.36203936961796,-2.5583890080451965,-2.5
90,6,3,3,3,-23.36203936961796,-2.5583890080451965,-23.623937559401057,-2.618981897830963,-2.5
91,6,3,3,3,-23.623937559401057,-2.618981897830963,-23.868899983440897,-2.449624240398407,-2.5
92,6,3,3,3,-23.868899983440897,-2.449624240398407,-24.122524988924525,-2.536250054836273,-2.5
93,6,3,3,3,-24.122524988924525,-2.536250054836273,-24.37325061587002,-2.507256269454956,-2.5
94,6,3,3,3,-24.37325061587002,-2.507256269454956,-24.63636578348782,-2.6311516761779785,-2.5
95,6,3,3,3,-24.63636578348782,-2.6311516761779785,-24.90727527168896,-2.7090948820114136,-2.5
96,6,3,3,3,-24.90727527168896,-2.7090948820114136,-25.17520676282551,-2.679314911365509,-2.5
97,6,3,3,3,-25.17520676282551,-2.679314911365509,-25.436721515928767,-2.6151475310325623,-2.5
98,6,3,3,3,-25.436721515928767,-2.6151475310325623,-25.69661287692692,-2.598913609981537,-2.5
99,6,3,3,3,-25.69661287692692,-2.598913609981537,-25.942582366143725,-2.459694892168045,-2.5
0,7,3,3,3,-0.0042946131036703,0.0081227313662827,-0.2572946638868277,-2.530000507831574,-1.75
1,7,3,3,3,-0.2572946638868277,-2.530000507831574,-0.6159604282186453,-3.5866576433181763,-1.75
2,7,3,3,3,-0.6159604282186453,-3.5866576433181763,-0.8508137554929678,-2.348533272743225,-1.75
3,7,3,3,3,-0.8508137554929678,-2.348533272743225,-1.0886469722793524,-2.378332167863846,-1.75
